CÓDIGO MLB,ORIGEM,LINK DO ANÚNCIO,PREÇO DE TABELA,PREÇO VIGENTE,DESCONTO,TIPO DE PROMOÇÃO,VISITAS,DATA DA CONSULTA
MLB3369840637,items_list,https://produto.mercadolivre.com.br/MLB-3369840637-_JM,,,,,,
MLB3782301024,items_list,https://produto.mercadolivre.com.br/MLB-3782301024-_JM,,,,,,
MLB3786482096,items_list,https://produto.mercadolivre.com.br/MLB-3786482096-_JM,,,,,,
MLB3788248596,items_list,https://produto.mercadolivre.com.br/MLB-3788248596-_JM,,,,,,
MLB3788215240,items_list,https://produto.mercadolivre.com.br/MLB-3788215240-_JM,,,,,,
MLB3376180957,items_list,https://produto.mercadolivre.com.br/MLB-3376180957-_JM,,,,,,
MLB3829657922,items_list,https://produto.mercadolivre.com.br/MLB-3829657922-_JM,,,,,,
MLB3829580136,items_list,https://produto.mercadolivre.com.br/MLB-3829580136-_JM,,,,,,
MLB3387624907,items_list,https://produto.mercadolivre.com.br/MLB-3387624907-_JM,,,,,,
MLB3387590207,items_list,https://produto.mercadolivre.com.br/MLB-3387590207-_JM,,,,,,
MLB3387588575,items_list,https://produto.mercadolivre.com.br/MLB-3387588575-_JM,,,,,,
MLB3387549389,items_list,https://produto.mercadolivre.com.br/MLB-3387549389-_JM,,,,,,
MLB3387546265,items_list,https://produto.mercadolivre.com.br/MLB-3387546265-_JM,,,,,,
MLB3387543175,items_list,https://produto.mercadolivre.com.br/MLB-3387543175-_JM,,,,,,
MLB3398695711,items_list,https://produto.mercadolivre.com.br/MLB-3398695711-_JM,,,,,,
MLB3921624596,items_list,https://produto.mercadolivre.com.br/MLB-3921624596-_JM,,,,,,
MLB3921610796,items_list,https://produto.mercadolivre.com.br/MLB-3921610796-_JM,,,,,,
MLB3921578954,items_list,https://produto.mercadolivre.com.br/MLB-3921578954-_JM,,,,,,
MLB3417760591,items_list,https://produto.mercadolivre.com.br/MLB-3417760591-_JM,,,,,,
MLB3420001645,items_list,https://produto.mercadolivre.com.br/MLB-3420001645-_JM,,,,,,
MLB3424413803,items_list,https://produto.mercadolivre.com.br/MLB-3424413803-_JM,,,,,,
MLB3780512128,items_list,https://produto.mercadolivre.com.br/MLB-3780512128-_JM,,,,,,
MLB3951690728,items_list,https://produto.mercadolivre.com.br/MLB-3951690728-_JM,,,,,,
MLB3951664876,items_list,https://produto.mercadolivre.com.br/MLB-3951664876-_JM,,,,,,
MLB3426566065,items_list,https://produto.mercadolivre.com.br/MLB-3426566065-_JM,,,,,,
MLB3994870556,items_list,https://produto.mercadolivre.com.br/MLB-3994870556-_JM,,,,,,
MLB3994863158,items_list,https://produto.mercadolivre.com.br/MLB-3994863158-_JM,,,,,,
MLB3434383833,items_list,https://produto.mercadolivre.com.br/MLB-3434383833-_JM,,,,,,
MLB3434363937,items_list,https://produto.mercadolivre.com.br/MLB-3434363937-_JM,,,,,,
MLB3434363839,items_list,https://produto.mercadolivre.com.br/MLB-3434363839-_JM,,,,,,
MLB3434363799,items_list,https://produto.mercadolivre.com.br/MLB-3434363799-_JM,,,,,,
MLB3434351807,items_list,https://produto.mercadolivre.com.br/MLB-3434351807-_JM,,,,,,
MLB3434326027,items_list,https://produto.mercadolivre.com.br/MLB-3434326027-_JM,,,,,,
MLB3435469087,items_list,https://produto.mercadolivre.com.br/MLB-3435469087-_JM,,,,,,
MLB4031370374,items_list,https://produto.mercadolivre.com.br/MLB-4031370374-_JM,,,,,,
MLB4047741682,items_list,https://produto.mercadolivre.com.br/MLB-4047741682-_JM,,,,,,
MLB4051856932,items_list,https://produto.mercadolivre.com.br/MLB-4051856932-_JM,,,,,,
MLB4071051418,items_list,https://produto.mercadolivre.com.br/MLB-4071051418-_JM,,,,,,
MLB4071025512,items_list,https://produto.mercadolivre.com.br/MLB-4071025512-_JM,,,,,,
MLB3463606991,items_list,https://produto.mercadolivre.com.br/MLB-3463606991-_JM,,,,,,
MLB3468819241,items_list,https://produto.mercadolivre.com.br/MLB-3468819241-_JM,,,,,,
